file,total,average,fastest,slowest,requests_per_sec,size_request,p50,p75,p90,p95,p99
hey_result_green_apis_nesgnas_uk_persons_1.txt,1.0102,0.0979,0.0014,0.7559,989.8837,69.0000,0.0292,0.0447,0.4269,0.5583,0.7497
hey_result_green_apis_nesgnas_uk_persons_2.txt,1.0605,0.0871,0.0006,0.5065,942.9775,69.0000,0.0408,0.0519,0.4651,0.4745,0.4939
hey_result_green_apis_nesgnas_uk_persons_3.txt,0.9347,0.0911,0.0010,0.6810,1069.8048,69.0000,0.0296,0.0416,0.3612,0.6435,0.6750
hey_result_green_apis_nesgnas_uk_persons_4.txt,0.9355,0.0883,0.0008,0.6264,1068.9897,69.0000,0.0350,0.0503,0.4151,0.5539,0.6118
hey_result_green_apis_nesgnas_uk_persons_5.txt,2.6535,0.2486,0.0008,1.7849,376.8635,69.0000,0.0576,0.0990,1.2443,1.7698,1.7793
hey_result_green_apis_nesgnas_uk_persons_6.txt,0.9113,0.0797,0.0007,0.7021,1097.3766,69.0000,0.0251,0.0417,0.4534,0.4617,0.4843
hey_result_green_apis_nesgnas_uk_persons_7.txt,0.8411,0.0823,0.0008,0.5734,1188.8852,69.0000,0.0342,0.0445,0.4126,0.5242,0.5588
hey_result_green_apis_nesgnas_uk_persons_8.txt,0.8542,0.0822,0.0008,0.6894,1170.7074,69.0000,0.0275,0.0422,0.4967,0.5395,0.5622
hey_result_green_apis_nesgnas_uk_persons_9.txt,0.9214,0.0901,0.0032,0.6850,1085.2617,69.0000,0.0249,0.0427,0.3472,0.5574,0.6816
hey_result_green_apis_nesgnas_uk_persons_10.txt,0.8414,0.0809,0.0011,0.6206,1188.4281,69.0000,0.0334,0.0439,0.4733,0.5157,0.5486
hey_result_green_apis_nesgnas_uk_persons_11.txt,0.9213,0.0833,0.0006,0.5467,1085.3783,69.0000,0.0340,0.0475,0.4197,0.4874,0.5057
hey_result_green_apis_nesgnas_uk_persons_12.txt,1.0642,0.0977,0.0016,0.6176,939.6291,69.0000,0.0419,0.0605,0.3174,0.3375,0.5961
hey_result_green_apis_nesgnas_uk_persons_13.txt,1.0875,0.1065,0.0007,0.7618,919.5599,69.0000,0.0415,0.0690,0.3830,0.4985,0.6597
hey_result_green_apis_nesgnas_uk_persons_14.txt,0.9663,0.0910,0.0009,0.6450,1034.8581,69.0000,0.0202,0.0460,0.4099,0.5989,0.6359
hey_result_green_apis_nesgnas_uk_persons_15.txt,1.0028,0.0982,0.0017,0.7941,997.2154,69.0000,0.0263,0.0466,0.3903,0.5800,0.7737
hey_result_green_apis_nesgnas_uk_persons_16.txt,2.3786,0.2300,0.0016,1.9610,420.4183,69.0000,0.0333,0.0619,1.0375,1.7386,1.9561
hey_result_green_apis_nesgnas_uk_persons_17.txt,0.8383,0.0815,0.0021,0.5953,1192.8936,69.0000,0.0296,0.0414,0.4814,0.5517,0.5699
hey_result_green_apis_nesgnas_uk_persons_18.txt,0.9773,0.0956,0.0034,0.5608,1023.2061,69.0000,0.0439,0.0888,0.4329,0.4407,0.4535
hey_result_green_apis_nesgnas_uk_persons_19.txt,1.0268,0.0930,0.0011,0.6902,973.8684,69.0000,0.0207,0.0381,0.3548,0.3634,0.6855
hey_result_green_apis_nesgnas_uk_persons_20.txt,1.1727,0.1150,0.0045,0.7747,852.7314,69.0000,0.0356,0.0551,0.4800,0.6005,0.7583
hey_result_green_apis_nesgnas_uk_persons_21.txt,0.9426,0.0923,0.0007,0.9005,1060.9374,69.0000,0.0396,0.0500,0.3857,0.5589,0.6247
hey_result_green_apis_nesgnas_uk_persons_22.txt,1.1372,0.1110,0.0021,0.8054,879.3611,69.0000,0.0410,0.0651,0.4872,0.5461,0.7931
hey_result_green_apis_nesgnas_uk_persons_23.txt,1.2941,0.1265,0.0007,0.8964,772.7160,69.0000,0.0463,0.0651,0.4112,0.6044,0.8869
hey_result_green_apis_nesgnas_uk_persons_24.txt,1.4348,0.1395,0.0008,0.7371,696.9832,69.0000,0.0354,0.1142,0.6253,0.7155,0.7306
hey_result_green_apis_nesgnas_uk_persons_25.txt,1.0134,0.0993,0.0042,0.6662,986.8220,69.0000,0.0416,0.0566,0.3936,0.4105,0.6600
hey_result_green_apis_nesgnas_uk_persons_26.txt,1.1683,0.1030,0.0008,0.6717,855.9388,69.0000,0.0428,0.0585,0.4220,0.4358,0.6688
hey_result_green_apis_nesgnas_uk_persons_27.txt,0.9514,0.0932,0.0013,0.7180,1051.1371,69.0000,0.0253,0.0442,0.4489,0.6553,0.7122
hey_result_green_apis_nesgnas_uk_persons_28.txt,0.8146,0.0774,0.0010,0.5686,1227.6231,69.0000,0.0243,0.0377,0.5225,0.5468,0.5589
hey_result_green_apis_nesgnas_uk_persons_29.txt,1.0818,0.0926,0.0029,0.6573,924.3891,69.0000,0.0331,0.0423,0.3574,0.3888,0.6559
hey_result_green_apis_nesgnas_uk_persons_30.txt,1.0007,0.0903,0.0008,0.6589,999.3018,69.0000,0.0249,0.0426,0.3717,0.4268,0.6516
hey_result_api_nesgnas_uk_persons_1.txt,0.9392,0.0861,0.0007,0.5828,1064.7781,69.0000,0.0397,0.0449,0.4829,0.5346,0.5818
hey_result_api_nesgnas_uk_persons_2.txt,0.9861,0.0957,0.0009,0.6856,1014.1472,69.0000,0.0385,0.0439,0.3776,0.6272,0.6516
hey_result_api_nesgnas_uk_persons_3.txt,1.0563,0.1000,0.0012,0.6647,946.7154,69.0000,0.0403,0.0612,0.4878,0.5709,0.6020
hey_result_api_nesgnas_uk_persons_4.txt,1.1735,0.1145,0.0010,0.8730,852.1779,69.0000,0.0366,0.0595,0.4774,0.4938,0.5429
hey_result_api_nesgnas_uk_persons_5.txt,1.0025,0.0984,0.0006,0.6385,997.4796,69.0000,0.0406,0.0963,0.4223,0.4345,0.5840
hey_result_api_nesgnas_uk_persons_6.txt,1.0212,0.0985,0.0007,0.7047,979.2273,69.0000,0.0401,0.0649,0.4671,0.4961,0.5630
hey_result_api_nesgnas_uk_persons_7.txt,0.9790,0.0890,0.0009,0.6546,1021.4525,69.0000,0.0202,0.0357,0.3540,0.5398,0.6473
hey_result_api_nesgnas_uk_persons_8.txt,1.0873,0.1069,0.0008,0.7569,919.6679,69.0000,0.0410,0.0545,0.4092,0.4197,0.7526
hey_result_api_nesgnas_uk_persons_9.txt,1.1095,0.1090,0.0011,0.8987,901.3376,69.0000,0.0237,0.0429,0.3985,0.5854,0.7505
hey_result_api_nesgnas_uk_persons_10.txt,0.9746,0.0960,0.0016,0.7106,1026.0557,69.0000,0.0378,0.0439,0.3654,0.6375,0.7013
hey_result_api_nesgnas_uk_persons_11.txt,1.0183,0.0952,0.0008,0.6107,982.0036,69.0000,0.0399,0.0484,0.5629,0.5848,0.5961
hey_result_api_nesgnas_uk_persons_12.txt,1.1363,0.1097,0.0011,0.8006,880.0457,69.0000,0.0382,0.0576,0.4049,0.4675,0.7546
hey_result_api_nesgnas_uk_persons_13.txt,0.9525,0.0938,0.0024,0.6582,1049.8306,69.0000,0.0399,0.0532,0.4127,0.5758,0.5992
hey_result_api_nesgnas_uk_persons_14.txt,1.1275,0.1036,0.0034,0.6918,886.8799,69.0000,0.0400,0.0854,0.4823,0.5196,0.5267
hey_result_api_nesgnas_uk_persons_15.txt,0.9746,0.0888,0.0009,0.6498,1026.0864,69.0000,0.0227,0.0428,0.3945,0.4101,0.6486
hey_result_api_nesgnas_uk_persons_16.txt,1.1277,0.1100,0.0007,0.8195,886.7287,69.0000,0.0391,0.0566,0.4021,0.4210,0.7910
hey_result_api_nesgnas_uk_persons_17.txt,0.9019,0.0876,0.0007,0.6551,1108.7183,69.0000,0.0270,0.0445,0.3277,0.5203,0.6534
hey_result_api_nesgnas_uk_persons_18.txt,0.9386,0.0788,0.0007,0.8944,1065.3748,69.0000,0.0249,0.0394,0.4790,0.4976,0.5065
hey_result_api_nesgnas_uk_persons_19.txt,1.4331,0.1329,0.0009,0.5603,697.7961,69.0000,0.0470,0.1383,0.4886,0.5047,0.5553
hey_result_api_nesgnas_uk_persons_20.txt,1.1069,0.0995,0.0011,0.6818,903.4555,69.0000,0.0378,0.0832,0.4378,0.4470,0.6751
hey_result_api_nesgnas_uk_persons_21.txt,1.1545,0.1059,0.0006,0.7142,866.1982,69.0000,0.0436,0.0695,0.3788,0.3925,0.7015
hey_result_api_nesgnas_uk_persons_22.txt,1.3080,0.1282,0.0008,1.1819,764.5169,69.0000,0.0465,0.0800,0.3685,0.6231,0.8885
hey_result_api_nesgnas_uk_persons_23.txt,0.9874,0.0970,0.0008,0.7411,1012.7989,69.0000,0.0322,0.0454,0.3731,0.5832,0.7367
hey_result_api_nesgnas_uk_persons_24.txt,1.1310,0.1079,0.0005,0.7891,884.1717,69.0000,0.0392,0.0517,0.3940,0.4014,0.7816
hey_result_api_nesgnas_uk_persons_25.txt,1.2714,0.1251,0.0009,0.9324,786.5217,69.0000,0.0370,0.1050,0.5124,0.5321,0.9145
hey_result_api_nesgnas_uk_persons_26.txt,1.1762,0.1026,0.0111,0.6966,850.1741,69.0000,0.0417,0.0549,0.4545,0.4751,0.5578
hey_result_api_nesgnas_uk_persons_27.txt,1.0799,0.0888,0.0007,0.8352,926.0303,69.0000,0.0190,0.0371,0.4154,0.4453,0.6520
hey_result_api_nesgnas_uk_persons_28.txt,1.0693,0.1050,0.0007,0.5313,935.1914,69.0000,0.0398,0.0464,0.4899,0.5019,0.5138
hey_result_api_nesgnas_uk_persons_29.txt,1.4266,0.1406,0.0009,0.9390,700.9705,69.0000,0.0416,0.1293,0.5178,0.7364,0.8781
hey_result_api_nesgnas_uk_persons_30.txt,3.7422,0.3523,0.0025,2.0981,267.2196,69.0000,0.0477,0.4716,1.3527,1.6646,2.0772
